   2001_47 -14161.812 -32775.174
   2002_29 -14161.750 -32775.181
   2003_10 -14161.653 -32775.254
   2003_52 -14161.948 -32774.988
   2004_32 -14161.934 -32775.284
   2005_13 -14162.208 -32775.274
   2005_55 -14161.939 -32775.114
   2006_39 -14161.764 -32775.253
   2007_36 -14161.602 -32775.337
   2011_04 -14162.047 -32774.936
   2011_46 -14162.132 -32775.433
   2012_26 -14161.587 -32775.580
   2013_08 -14162.078 -32775.472
   2013_50 -14162.148 -32774.815
   2014_31 -14162.056 -32775.238
   2015_11 -14162.429 -32774.808
   2015_53 -14162.275 -32774.687
   2016_39 -14162.088 -32774.833
   2017_36 -14162.047 -32775.116
   2021_05 -14162.226 -32774.831
   2021_47 -14162.347 -32774.419
   2022_27 -14162.387 -32774.554
   2023_09 -14162.135 -32774.349
   2023_51 -14162.193 -32774.392
   2024_30 -14162.427 -32774.259
   2025_12 -14162.307 -32774.687
   2025_54 -14162.459 -32774.440
